ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.59,8.773,65.855,63902.72,215.671,2.13,276.718,15.83
0.62,9.122,46.386,57050.112,236.867,1.93,310.496,15.20
0.62,9.089,55.569,58157.056,224.642,2.09,294.48,14.97
0.66,9.129,69.932,62835.712,226.199,1.98,323.087,13.63
0.63,9.167,66.082,57418.752,226.058,2.08,292.49,14.47
1.02,8.782,78.269,935.527,184.930,2.33,635.747,5.37
0.73,9.598,70.651,56870.912,197.721,2.37,422.067,9.91
0.78,8.819,67.460,52120.576,187.705,2.44,454.428,8.98
0.82,9.034,70.080,45489.152,201.564,2.41,483.644,8.26
0.85,9.583,51.322,43581.44,177.447,2.54,532.098,7.37
0.77,7.277,56.749,26174.464,250.165,1.67,433.465,7.63
0.92,9.091,41.843,36983.808,199.288,2.16,554.964,6.47
0.89,8.046,65.166,31998.976,191.742,2.21,527.173,6.51
0.95,9.630,33.904,39834.624,230.282,1.93,540.531,6.86
0.96,9.119,49.223,42913.792,255.836,1.73,541.48,7.05
