r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
9.2,0.0,1139339.2,2444814.4,119951.2,364977.6,2993.6,616.8,4880.0,26337.6,15748.6,29319.6,29.8,64.8,4.8,0.6,0.0
6.4,0.2,1115420.8,3344350.4,132852.8,371854.4,33.6,0.0,35.2,25843.2,17115.6,32238.0,31.4,60.6,7.2,1.0,0.0
8.4,0.2,1112604.8,3521322.4,136936.0,372747.2,178.4,0.0,366.0,25271.2,16657.8,30761.8,31.6,61.8,5.8,1.0,0.0
7.2,0.8,1281681.6,2074252.8,138696.0,377956.0,44.0,84278.4,44.8,104861.6,14264.8,25217.8,32.6,61.8,4.6,1.2,0.0
8.8,0.0,1148516.8,2104203.2,139346.4,381680.0,65.6,35592.8,391.0,57349.6,14480.0,26206.2,30.4,63.8,4.8,1.0,0.0
6.6,0.4,1100523.2,3762242.4,139770.4,387423.2,1024.0,0.0,1906.4,23297.6,16794.4,32057.0,34.0,60.0,5.0,1.0,0.0
7.0,0.4,1094288.8,4473706.4,140003.2,414004.0,419.2,0.0,1378.4,25345.6,16713.8,31022.4,33.4,60.4,5.6,1.0,0.0
6.6,0.4,1093536.8,3813725.6,140064.0,416497.6,17.6,0.0,30.4,25414.4,16348.2,31375.6,33.2,61.4,5.0,0.6,0.0
8.4,0.6,1287938.4,3580424.8,140100.8,417289.6,25.6,102766.4,50.4,121986.4,14315.4,24573.6,31.6,63.6,4.0,0.8,0.0
7.0,0.2,1083992.8,5241913.6,140116.0,423243.2,37.6,0.0,63.2,23455.2,16056.6,29327.8,34.8,58.8,5.4,1.0,0.0
6.2,0.4,1083494.4,4487869.6,140140.8,428956.8,16.0,0.0,16.0,24690.4,16787.4,30984.8,32.8,61.2,5.0,0.8,0.0
8.6,0.0,1083220.8,4458712.0,140162.4,429752.0,103.2,0.0,152.4,26988.8,17055.6,32709.2,34.2,59.6,5.4,1.0,0.0
7.6,0.0,1079827.2,4394756.8,140230.4,427872.0,1212.0,0.0,1212.8,24415.2,17438.8,32745.2,35.4,59.2,4.6,1.0,0.0
8.8,0.4,1077013.6,4741824.8,140697.6,435157.6,4.0,0.0,30.4,25097.6,15627.6,29510.6,36.0,58.0,5.2,1.0,0.0
7.0,0.0,1076745.6,4664986.4,140715.2,442160.0,19.2,0.0,19.2,21433.6,15803.2,29260.4,35.2,59.2,5.2,0.8,0.0
7.0,0.0,1076600.0,4401838.4,140724.0,442237.6,20.8,0.0,1007.8,25400.8,15980.2,31095.4,38.6,55.6,5.4,0.6,0.0
7.4,0.0,1076236.8,4828867.2,140734.4,443180.0,15.2,0.0,15.2,25841.6,17260.6,32611.8,37.4,57.0,5.2,0.8,0.0
8.8,0.2,1075871.2,5177063.2,140756.8,441876.0,9.6,0.0,18.4,23860.8,16345.6,31625.8,41.4,52.8,5.4,0.8,0.0
7.6,0.6,1073844.0,5352837.6,140768.0,439028.0,42.4,0.0,42.4,24524.0,16673.2,31242.6,40.0,54.4,4.6,0.8,0.0
8.6,0.4,1250298.4,5285082.4,140778.4,442828.8,21.6,89166.4,22.4,109624.8,14943.2,26208.6,37.2,56.6,5.2,1.2,0.0
8.0,0.2,1073404.0,5505882.4,140788.0,440310.4,25.6,0.0,27.2,24820.8,16170.8,30928.6,43.6,50.8,5.2,0.8,0.0
6.6,0.2,1173220.8,5741976.0,140788.0,441130.4,11.2,40913.6,11.2,67363.2,15898.6,31329.2,38.6,55.0,6.0,0.6,0.0
8.6,0.0,1072163.2,5792220.8,140792.0,441079.2,7.2,0.0,7.2,25221.6,16274.6,30647.4,47.0,47.2,5.4,0.6,0.0
7.6,0.0,1071600.0,6228611.2,140804.0,440688.0,12.8,0.0,13.6,26016.8,16491.4,31047.0,40.0,54.0,5.8,0.4,0.0
