ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
1.04,12.435,26.133,16120.832,294.808,1.55,677.867,5.73
1.03,11.458,22.348,32789.504,411.525,1.16,485.735,8.09
1.13,11.140,30.018,27808.768,392.529,1.10,512.611,6.89
0.82,13.589,23.068,16284.672,269.085,1.90,446.474,8.43
0.73,10.164,23.091,36568.064,268.518,1.78,349.501,13.02
0.65,8.486,31.487,38051.84,241.409,2.04,320.535,12.10
0.68,7.706,29.379,22987.776,257.649,1.84,344.752,10.14
0.72,9.751,22.794,33593.344,271.254,1.79,359.018,13.30
0.74,10.362,18.512,21977.088,276.566,1.84,358.231,12.91
0.70,10.343,16.655,30705.664,255.207,1.96,332.175,13.50
0.70,10.019,22.612,33264.64,259.366,2.16,340.709,13.76
0.74,10.721,23.068,33088.512,263.791,1.84,345.193,13.19
0.75,9.831,21.505,21945.344,264.223,1.80,341.597,13.08
0.72,10.499,18.697,35600.384,251.658,1.88,326.18,13.47
0.73,11.119,19.976,18822.144,263.487,1.98,342.036,13.62
0.80,9.911,24.982,19954.688,248.519,1.88,373.278,11.36
0.71,10.687,17.847,19865.6,277.059,1.82,359.97,11.29
0.70,10.816,23.600,41174.016,253.522,1.97,322.34,13.75
0.76,10.858,22.940,34022.4,235.879,2.18,387.887,11.55
0.75,9.842,21.978,35660.8,227.425,2.21,366.642,11.85
0.85,8.829,25.357,28171.264,215.030,2.22,458.7,8.96
0.79,10.757,25.388,28469.248,227.455,2.30,454.409,9.97
0.85,9.136,25.040,11810.816,283.391,1.78,466.243,8.40
0.86,10.616,22.228,15967.232,223.678,2.28,476.872,8.70
0.87,9.063,39.384,17806.336,237.661,1.97,465.696,8.46
0.92,9.966,24.862,20704.256,258.009,1.79,455.378,8.69
0.88,9.931,25.484,17832.96,266.311,1.71,434.944,8.63
1.02,7.324,24.062,5972.992,313.596,1.35,553.566,6.20
1.00,8.937,27.430,8949.76,317.437,1.51,546.423,7.08
1.06,9.709,24.506,4527.104,317.972,1.47,623.132,6.23
0.92,9.392,23.487,18441.216,326.069,1.45,420.504,9.17
0.94,9.991,20.653,19562.496,325.575,1.50,466.147,8.86
0.68,6.921,39.432,26746.88,257.101,1.80,341.786,9.79
0.68,7.473,43.352,21001.216,247.238,1.75,336.405,11.23
0.66,9.246,45.485,24854.528,238.979,2.08,318.613,12.75
0.71,10.220,32.117,35991.552,266.421,1.78,355.807,13.63
0.72,10.073,31.234,43141.12,271.117,1.80,350.885,13.51
0.72,10.686,29.484,33350.656,263.872,1.82,346.198,13.13
0.72,9.766,27.595,19147.776,293.675,1.77,386.054,10.67
0.69,10.976,25.344,40727.552,255.901,1.92,333.238,14.06
0.68,10.386,34.648,45310.976,247.907,2.04,319.465,14.55
0.66,10.172,26.561,42347.52,229.007,2.15,298.971,14.66
0.66,10.269,27.437,44584.96,231.774,2.02,296.494,14.40
0.67,11.390,33.068,38029.312,241.972,2.13,311.75,14.14
0.79,10.892,22.790,30256.128,231.810,2.12,444.608,9.55
0.88,10.424,19.986,19901.44,215.242,2.26,507.238,8.29
0.74,10.308,24.691,37104.64,210.132,2.27,389.65,10.86
0.83,11.217,19.489,26982.4,204.960,2.36,481.846,8.38
0.83,11.669,23.045,26572.8,213.661,2.35,493.392,8.64
0.87,10.048,31.616,22322.176,214.834,2.23,500.52,8.20
0.90,11.497,30.267,20314.112,264.257,2.02,522.588,8.20
0.93,10.956,22.237,28651.52,277.264,1.74,504.825,8.37
1.03,10.331,26.998,12382.208,318.790,1.55,570.969,7.19
0.98,10.675,26.891,21407.744,285.797,1.68,531.258,7.46
0.99,11.184,32.885,18890.752,321.169,1.50,531.871,7.72
1.09,11.159,28.482,14280.704,338.118,1.36,656.642,6.18
1.06,10.162,24.860,7428.096,292.112,1.53,590.115,6.14
1.03,10.560,33.593,15341.568,307.132,1.47,600.937,6.70
1.01,10.581,28.936,25406.464,384.533,1.27,451.011,9.17
0.91,10.252,33.706,16941.056,324.593,1.51,453.634,8.88
0.58,7.259,66.181,26788.864,216.668,2.15,299.072,10.79
0.57,7.362,88.187,8891.392,190.998,1.87,291.344,10.10
0.63,10.705,37.933,30281.728,242.254,2.21,321.552,13.42
0.63,11.326,34.632,39556.096,240.823,2.05,320.76,14.22
0.63,10.442,41.429,45018.112,237.754,2.02,310.526,14.20
0.62,12.231,30.427,36615.168,240.931,2.10,317.22,14.82
0.71,11.718,36.988,28129.28,222.150,2.25,370.935,11.60
0.62,11.163,35.012,48622.592,238.109,2.14,309.461,14.71
0.58,10.764,30.163,51741.696,218.054,2.39,285.88,15.65
0.67,12.574,39.348,46137.344,205.689,2.49,377.228,11.57
0.65,8.933,43.759,26841.088,246.482,1.96,354.531,10.76
0.84,11.881,39.012,36788.224,192.111,2.59,538.2,7.86
0.83,11.488,39.379,40145.92,179.752,2.65,515.653,8.13
0.87,11.941,28.230,23688.192,197.436,2.40,535.711,7.42
0.85,10.381,30.623,35643.392,199.260,2.41,539.147,7.68
0.85,11.400,22.691,26284.032,205.887,2.60,537.705,7.41
0.80,10.259,35.919,23917.568,265.445,1.87,463.753,8.12
