ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.95,7.349,97.546,26226.688,265.041,1.64,587.255,5.6,7.0,0.4,1246104.8,4208792.0,135595.2,411482.4,66.4,142040.8,1670.4,165349.6,16125.6,30085.2,29.4,63.2,5.6,1.8,0.0,1.246896
0.95,7.976,83.828,20277.248,266.937,1.6,572.196,5.5,4.2,0.2,1355917.6,4418734.4,135781.6,420953.6,49.6,167296.8,820.0,191510.4,16364.6,32332.6,30.4,59.2,8.0,2.4,0.0,1.351062
1.1,7.56,73.035,26415.104,329.146,1.1,678.735,4.7,6.8,0.2,1325748.0,4797403.2,136121.6,422398.4,13.6,147384.0,14.4,172688.8,15775.2,29949.0,29.4,62.4,7.2,1.2,0.0,1.597102
1.39,9.539,107.184,12265.472,388.53,1.04,922.968,3.64,6.8,0.2,975408.0,4802677.6,136148.0,420484.0,5.6,0.0,5.6,29864.8,17201.8,38104.6,41.8,47.8,9.6,1.0,0.0,1.239842
1.3,9.458,57.743,20628.48,392.71,1.07,909.382,3.99,6.0,0.6,975152.0,5034693.6,136163.2,422771.2,7.2,0.0,7.2,31490.4,18338.8,37819.8,38.8,53.8,6.8,0.8,0.0,1.114924
1.36,9.763,64.899,16058.368,385.957,1.09,934.701,3.69,7.0,0.0,975152.0,5137361.6,136168.0,425553.6,3.2,0.0,3.2,30164.0,18143.2,39615.0,40.2,52.0,7.0,1.2,0.0,1.141682
1.22,10.392,40.389,23854.08,344.759,1.34,861.192,4.34,7.0,0.0,975152.0,5466458.4,136180.8,421005.6,12.0,0.0,15.2,30656.0,18385.0,41304.4,45.8,46.8,6.4,1.0,0.0,0.998113
1.17,9.278,62.632,34787.328,381.105,1.07,672.29,5.37,5.8,0.0,974896.0,5796060.0,136184.0,424374.4,4.8,0.0,76.0,30392.0,17302.8,36242.8,35.4,56.2,7.4,1.2,0.0,1.212383
1.06,7.752,56.031,24610.816,363.145,1.04,492.562,6.35,6.8,0.2,1081812.8,5951874.4,136192.8,423876.8,4.0,106675.2,4.0,131236.0,17048.2,31036.8,31.2,58.2,8.4,2.6,0.0,1.556378
1.19,9.341,49.154,37238.784,436.995,0.98,565.624,6.13,5.8,0.2,974412.0,6343272.8,136205.6,421104.8,8.0,0.0,8.0,26741.6,16767.8,37032.8,35.6,53.8,9.0,2.0,0.0,1.095115
